"Row"	"Column"	"Gene"	"Size"	"Media"	"Time.Point"	"Temp"	"Array"	"Condition"	"Well"
6	30	"C1C1 rho c1e1 pr16"	237	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c30"
6	31	"C1C1 rho c1e1 pr16"	244	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c31"
6	34	"C1C1 rho c1e1 pr17"	237	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c34"
6	35	"C1C1 rho c1e1 pr17"	254	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c35"
6	36	"C1C1 rho c1e1 pr17"	250	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c36"
6	37	"C1C1 rho c1e1 pr17"	251	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c37"
6	38	"C1C1 rho c1e1 pr17"	265	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c38"
6	39	"C1C1 rho c1e1 pr17"	259	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c39"
6	42	"C1C1 rho c1e1 pr18"	266	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c42"
6	43	"C1C1 rho c1e1 pr18"	254	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c43"
6	44	"C1C1 rho c1e1 pr18"	259	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c44"
6	45	"C1C1 rho c1e1 pr18"	259	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c45"
6	46	"C1C1 rho c1e1 pr18"	256	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c46"
7	3	"C1C1 rho c1e1 pr13"	263	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c3"
7	4	"C1C1 rho c1e1 pr13"	229	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c4"
7	5	"C1C1 rho c1e1 pr13"	231	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c5"
7	6	"C1C1 rho c1e1 pr13"	204	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c6"
7	7	"C1C1 rho c1e1 pr13"	233	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c7"
7	10	"C1C1 rho c1e1 pr14"	224	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c10"
7	11	"C1C1 rho c1e1 pr14"	223	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c11"
7	12	"C1C1 rho c1e1 pr14"	237	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c12"
7	13	"C1C1 rho c1e1 pr14"	232	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c13"
7	14	"C1C1 rho c1e1 pr14"	223	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c14"
7	15	"C1C1 rho c1e1 pr14"	228	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c15"
7	18	"C1C1 rho c1e1 pr15"	111	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c18"
7	19	"C1C1 rho c1e1 pr15"	114	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c19"
7	20	"C1C1 rho c1e1 pr15"	104	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c20"
7	21	"C1C1 rho c1e1 pr15"	88	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c21"
7	22	"C1C1 rho c1e1 pr15"	121	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c22"
7	23	"C1C1 rho c1e1 pr15"	100	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c23"
7	26	"C1C1 rho c1e1 pr16"	229	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c26"
7	27	"C1C1 rho c1e1 pr16"	232	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c27"
7	28	"C1C1 rho c1e1 pr16"	236	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c28"
7	29	"C1C1 rho c1e1 pr16"	252	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c29"
7	30	"C1C1 rho c1e1 pr16"	248	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c30"
7	31	"C1C1 rho c1e1 pr16"	250	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c31"
7	34	"C1C1 rho c1e1 pr17"	235	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c34"
7	35	"C1C1 rho c1e1 pr17"	262	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c35"
7	36	"C1C1 rho c1e1 pr17"	257	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c36"
7	37	"C1C1 rho c1e1 pr17"	276	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c37"
7	38	"C1C1 rho c1e1 pr17"	264	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c38"
7	39	"C1C1 rho c1e1 pr17"	279	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c39"
7	42	"C1C1 rho c1e1 pr18"	266	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c42"
7	43	"C1C1 rho c1e1 pr18"	259	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c43"
7	44	"C1C1 rho c1e1 pr18"	254	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c44"
7	45	"C1C1 rho c1e1 pr18"	251	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c45"
7	46	"C1C1 rho c1e1 pr18"	263	"YPEG"	0	"37"	"1"	"YPEG_37"	"r7c46"
10	3	"C1C1 rho c1e1 pr25"	195	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c3"
10	4	"C1C1 rho c1e1 pr25"	260	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c4"
10	5	"C1C1 rho c1e1 pr25"	237	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c5"
10	6	"C1C1 rho c1e1 pr25"	225	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c6"
10	7	"C1C1 rho c1e1 pr25"	234	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c7"
10	10	"C1C1 rho c1e1 pr26"	252	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c10"
10	11	"C1C1 rho c1e1 pr26"	234	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c11"
10	12	"C1C1 rho c1e1 pr26"	246	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c12"
10	13	"C1C1 rho c1e1 pr26"	242	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c13"
10	14	"C1C1 rho c1e1 pr26"	241	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c14"
10	15	"C1C1 rho c1e1 pr26"	243	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c15"
