"Row"	"Column"	"Gene"	"Media"	"Temp"	"Array"	"Condition"	"Well"	"CC"	"R"	"MinSize"	"Corr"
3	45	"C1C1 rho c1e1 pr 6"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c45"	3097.6368125427	0.0471463984620296	450.00493980905	0.996230071110095
3	46	"C1C1 rho c1e1 pr 6"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c46"	3131.45060913499	0.0474796474839207	442.919110114923	0.997096816702782
6	3	"C1C1 rho c1e1 pr13"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c3"	3135.14596503017	0.0476848988446651	414.28644914794	0.99764702473424
6	4	"C1C1 rho c1e1 pr13"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c4"	3233.26361042397	0.0468838920492339	464.559867380265	0.997440324841382
6	5	"C1C1 rho c1e1 pr13"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c5"	2963.8626614448	0.0496213919219417	412.646533267596	0.997118298770277
6	6	"C1C1 rho c1e1 pr13"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c6"	2992.04444478347	0.0478620392709102	408.313624161791	0.997038455409701
6	7	"C1C1 rho c1e1 pr13"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c7"	2924.47817559812	0.048446235702588	422.049535605781	0.997052435576792
6	10	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c10"	2843.86676363507	0.0506622474122846	439.168082217188	0.996740731683314
6	11	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c11"	2755.16307527942	0.0510406257583421	413.909674743955	0.996656219641405
6	12	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c12"	2784.80660720822	0.0506073105188483	431.516596004948	0.996793111591256
6	13	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c13"	2797.65696031528	0.05131621890035	430.48344455514	0.996946023356503
6	14	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c14"	2661.0995725974	0.0518083096227996	390.731773199305	0.997393329588653
6	15	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c15"	2770.38822209698	0.051854379477209	419.507469750132	0.996880867684767
6	18	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c18"	1408.51799843762	0.0652054575121469	157.954586799896	0.999620351060801
6	19	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c19"	1344.80545652693	0.067666302171707	134.728262807106	0.999270405436368
6	20	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c20"	1414.54119610919	0.0656185865997222	155.373092986768	0.999589890908999
6	21	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c21"	1396.35343840294	0.0656026619997617	148.772226003819	0.999664317997096
6	22	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c22"	1431.65070865303	0.0652583713076706	156.250809652461	0.99954855583153
6	23	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c23"	1322.04058358455	0.0667741651721873	130.46753527024	0.999588391148852
6	26	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c26"	2834.45676885708	0.0514495850022334	413.931905932357	0.9974677003283
6	27	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c27"	2891.82996466507	0.0513166100019074	436.821860298893	0.997370504560791
6	28	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c28"	2855.64043137407	0.0504078770652704	427.437752915274	0.997432650830028
6	29	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c29"	2864.29729311922	0.0503401370182969	429.910525357852	0.99724648150177
6	30	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c30"	2872.44512245192	0.0506514728816214	425.315237414747	0.996884258587078
6	31	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c31"	2896.16293368042	0.0498428160740614	434.143366229934	0.997027644279073
6	34	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c34"	2882.47222228842	0.0492747623693854	423.560159799525	0.996939641166819
6	35	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c35"	2946.03902718717	0.0494439185739206	446.910349644215	0.997168656905015
6	36	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c36"	2935.56984747773	0.0497715808261477	449.263946010851	0.997015042099171
6	37	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c37"	2908.21316658013	0.0490468570756793	440.833522139882	0.99707970997776
6	38	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c38"	3029.94210522693	0.0487308388622236	487.364053721794	0.996560898804351
6	39	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c39"	2950.99701036009	0.0494092794983345	464.105800973903	0.996914770790974
6	42	"C1C1 rho c1e1 pr18"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c42"	2952.94925558926	0.049592683856776	477.765832185839	0.996726214274189
6	43	"C1C1 rho c1e1 pr18"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c43"	2882.12561722303	0.0499289074670859	462.532715337976	0.996721739668161
6	44	"C1C1 rho c1e1 pr18"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c44"	2938.84196655021	0.0496653823611797	479.941469270987	0.99658840120108
6	45	"C1C1 rho c1e1 pr18"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c45"	3009.27842056316	0.0479599347664279	471.637201502206	0.996803412481828
6	46	"C1C1 rho c1e1 pr18"	"YPEG"	"37"	"1"	"YPEG_37"	"r6c46"	3128.30192019823	0.0475270707675502	475.952837455376	0.996845017754878
7	3	"C1C1 rho c1e1 pr13"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c3"	3260.84774837996	0.0475612098356657	477.194820320127	0.997400816875592
7	4	"C1C1 rho c1e1 pr13"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c4"	3105.83818127189	0.0470201744198684	443.04500419551	0.996707621061666
7	5	"C1C1 rho c1e1 pr13"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c5"	3075.22717248588	0.0481193278752839	459.980996173115	0.996571252709715
7	6	"C1C1 rho c1e1 pr13"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c6"	2720.68261525103	0.0492508133298472	359.814147306692	0.997213811860652
7	7	"C1C1 rho c1e1 pr13"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c7"	2770.23983011241	0.0495105426063056	394.053760113573	0.9972974346388
7	10	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c10"	2741.33095115269	0.0510972778151085	419.812645002311	0.996598114370985
7	11	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c11"	2680.83886970385	0.051660329797384	403.631131213354	0.996721163027843
7	12	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c12"	2729.95062475827	0.0512725600173597	423.734982786344	0.996811846138462
7	13	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c13"	2697.13015839953	0.0525929268437877	411.950084265873	0.997057767873291
7	14	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c14"	2571.79989065983	0.052528492993177	373.439491225007	0.997620975398434
7	15	"C1C1 rho c1e1 pr14"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c15"	2727.05205225942	0.0524640898546207	411.044284595819	0.997098541775874
7	18	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c18"	1385.09791569352	0.0658837207305865	150.616083804942	0.999504378964347
7	19	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c19"	1412.35666263728	0.0661650625219812	158.998086015343	0.99952518227994
7	20	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c20"	1418.30720070666	0.0666615063188856	155.26623210908	0.999408445935115
7	21	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c21"	1371.48484866709	0.067468382165753	142.161145168733	0.999304165749171
7	22	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c22"	1410.45710805083	0.0658295535632625	157.335285686049	0.999627162339846
7	23	"C1C1 rho c1e1 pr15"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c23"	1390.56411010139	0.0669373998275229	148.87952326479	0.999382740306157
7	26	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c26"	2764.51085173382	0.0520497131302369	401.716508809055	0.99725202375621
