FileName	Array	Media	Temperature	TimePoint	TimePointByHour
test_-05-24-17_22-23-38.JPG	2	YPEG	37	2	8.5
test_-05-24-17_22-24-03.JPG	3	YPEG	37	2	8.5
test_-05-24-17_22-24-20.JPG	4	YPEG	37	2	8.5
test_-05-24-17_22-24-39.JPG	5	YPEG	37	2	8.5
test_-05-24-17_22-24-59.JPG	6	YPEG	37	2	8.5
test_-05-24-17_22-25-18.JPG	1	SOE	37	2	8.5
test_-05-24-17_22-25-34.JPG	2	SOE	37	2	8.5
test_-05-24-17_22-25-51.JPG	3	SOE	37	2	8.5
test_-05-24-17_22-26-08.JPG	4	SOE	37	2	8.5
test_-05-24-17_22-26-25.JPG	5	SOE	37	2	8.5
test_-05-24-17_22-26-42.JPG	6	SOE	37	2	8.5
test_-05-25-17_05-52-48.JPG	1	YPD	30	3	16.5
test_-05-25-17_05-53-19.JPG	2	YPD	30	3	16.5
test_-05-25-17_05-53-42.JPG	3	YPD	30	3	16.5
test_-05-25-17_05-54-06.JPG	4	YPD	30	3	16.5
test_-05-25-17_05-54-28.JPG	5	YPD	30	3	16.5
test_-05-25-17_05-54-52.JPG	6	YPD	30	3	16.5
test_-05-25-17_05-55-21.JPG	1	YPEG	30	3	16.5
test_-05-25-17_05-55-43.JPG	2	YPEG	30	3	16.5
test_-05-25-17_05-56-08.JPG	3	YPEG	30	3	16.5
test_-05-25-17_05-56-32.JPG	4	YPEG	30	3	16.5
test_-05-25-17_05-56-55.JPG	5	YPEG	30	3	16.5
test_-05-25-17_05-57-21.JPG	6	YPEG	30	3	16.5
test_-05-25-17_05-57-51.JPG	1	SOE	30	3	16.5
test_-05-25-17_05-58-11.JPG	2	SOE	30	3	16.5
test_-05-25-17_05-58-35.JPG	3	SOE	30	3	16.5
test_-05-25-17_05-58-58.JPG	4	SOE	30	3	16.5
test_-05-25-17_05-59-21.JPG	5	SOE	30	3	16.5
test_-05-25-17_05-59-43.JPG	6	SOE	30	3	16.5
test_-05-25-17_06-05-45.JPG	1	YPD	37	3	16.5
test_-05-25-17_06-06-03.JPG	2	YPD	37	3	16.5
test_-05-25-17_06-06-24.JPG	3	YPD	37	3	16.5
test_-05-25-17_06-06-43.JPG	4	YPD	37	3	16.5
test_-05-25-17_06-07-04.JPG	5	YPD	37	3	16.5
test_-05-25-17_06-07-26.JPG	6	YPD	37	3	16.5
test_-05-25-17_06-07-55.JPG	1	YPEG	37	3	16.5
test_-05-25-17_06-08-15.JPG	2	YPEG	37	3	16.5
test_-05-25-17_06-08-36.JPG	3	YPEG	37	3	16.5
test_-05-25-17_06-08-58.JPG	4	YPEG	37	3	16.5
test_-05-25-17_06-09-18.JPG	5	YPEG	37	3	16.5
test_-05-25-17_06-09-41.JPG	6	YPEG	37	3	16.5
test_-05-25-17_06-10-05.JPG	1	SOE	37	3	16.5
test_-05-25-17_06-10-24.JPG	2	SOE	37	3	16.5
test_-05-25-17_06-10-44.JPG	3	SOE	37	3	16.5
test_-05-25-17_06-11-06.JPG	4	SOE	37	3	16.5
test_-05-25-17_06-11-27.JPG	5	SOE	37	3	16.5
test_-05-25-17_06-11-48.JPG	6	SOE	37	3	16.5
test_-05-25-17_10-07-13.JPG	1	YPD	30	4	20.5
test_-05-25-17_10-07-32.JPG	2	YPD	30	4	20.5
test_-05-25-17_10-07-52.JPG	3	YPD	30	4	20.5
test_-05-25-17_10-08-12.JPG	4	YPD	30	4	20.5
test_-05-25-17_10-08-33.JPG	5	YPD	30	4	20.5
test_-05-25-17_10-08-55.JPG	6	YPD	30	4	20.5
test_-05-25-17_10-09-19.JPG	1	YPEG	30	4	20.5
test_-05-25-17_10-09-39.JPG	2	YPEG	30	4	20.5
