"Row"	"Column"	"Gene"
3	39	"C1C1 rho c1e1 pr 5"
3	40	"C1C1 rho c1e1 pr 5"
3	41	"C1C1 rho c1e1 pr 6"
3	42	"C1C1 rho c1e1 pr 6"
3	43	"C1C1 rho c1e1 pr 6"
3	44	"C1C1 rho c1e1 pr 6"
3	45	"C1C1 rho c1e1 pr 6"
3	46	"C1C1 rho c1e1 pr 6"
3	47	"C1C1 rho c1e1 pr 6"
3	48	"C1C1 rho c1e1 pr 6"
4	1	"Ref"
4	2	"Ref"
4	3	"Ref"
4	4	"Ref"
4	5	"Ref"
4	6	"Ref"
4	7	"Ref"
4	8	"Ref"
4	9	"C1C1 rho c1e1 pr 2"
4	10	"C1C1 rho c1e1 pr 2"
4	11	"C1C1 rho c1e1 pr 2"
4	12	"C1C1 rho c1e1 pr 2"
4	13	"C1C1 rho c1e1 pr 2"
4	14	"C1C1 rho c1e1 pr 2"
4	15	"C1C1 rho c1e1 pr 2"
4	16	"C1C1 rho c1e1 pr 2"
4	17	"C1C1 rho c1e1 pr 3"
4	18	"C1C1 rho c1e1 pr 3"
4	19	"C1C1 rho c1e1 pr 3"
4	20	"C1C1 rho c1e1 pr 3"
4	21	"C1C1 rho c1e1 pr 3"
4	22	"C1C1 rho c1e1 pr 3"
4	23	"C1C1 rho c1e1 pr 3"
4	24	"C1C1 rho c1e1 pr 3"
4	25	"C1C1 rho c1e1 pr 4"
4	26	"C1C1 rho c1e1 pr 4"
4	27	"C1C1 rho c1e1 pr 4"
4	28	"C1C1 rho c1e1 pr 4"
4	29	"C1C1 rho c1e1 pr 4"
4	30	"C1C1 rho c1e1 pr 4"
4	31	"C1C1 rho c1e1 pr 4"
4	32	"C1C1 rho c1e1 pr 4"
4	33	"C1C1 rho c1e1 pr 5"
4	34	"C1C1 rho c1e1 pr 5"
4	35	"C1C1 rho c1e1 pr 5"
4	36	"C1C1 rho c1e1 pr 5"
4	37	"C1C1 rho c1e1 pr 5"
4	38	"C1C1 rho c1e1 pr 5"
4	39	"C1C1 rho c1e1 pr 5"
4	40	"C1C1 rho c1e1 pr 5"
4	41	"C1C1 rho c1e1 pr 6"
4	42	"C1C1 rho c1e1 pr 6"
4	43	"C1C1 rho c1e1 pr 6"
4	44	"C1C1 rho c1e1 pr 6"
4	45	"C1C1 rho c1e1 pr 6"
4	46	"C1C1 rho c1e1 pr 6"
4	47	"C1C1 rho c1e1 pr 6"
4	48	"C1C1 rho c1e1 pr 6"
5	1	"C1C1 rho c1e1 pr13"
5	2	"C1C1 rho c1e1 pr13"
5	3	"C1C1 rho c1e1 pr13"
5	4	"C1C1 rho c1e1 pr13"
5	5	"C1C1 rho c1e1 pr13"
5	6	"C1C1 rho c1e1 pr13"
5	7	"C1C1 rho c1e1 pr13"
5	8	"C1C1 rho c1e1 pr13"
5	9	"C1C1 rho c1e1 pr14"
5	10	"C1C1 rho c1e1 pr14"
5	11	"C1C1 rho c1e1 pr14"
5	12	"C1C1 rho c1e1 pr14"
5	13	"C1C1 rho c1e1 pr14"
5	14	"C1C1 rho c1e1 pr14"
5	15	"C1C1 rho c1e1 pr14"
5	16	"C1C1 rho c1e1 pr14"
5	17	"C1C1 rho c1e1 pr15"
5	18	"C1C1 rho c1e1 pr15"
5	19	"C1C1 rho c1e1 pr15"
5	20	"C1C1 rho c1e1 pr15"
5	21	"C1C1 rho c1e1 pr15"
5	22	"C1C1 rho c1e1 pr15"
5	23	"C1C1 rho c1e1 pr15"
