"Row"	"Column"	"Gene"
1	1	"Ref"
1	2	"Ref"
1	3	"Ref"
1	4	"Ref"
1	5	"C1C1 rho c1e1 pr 2"
1	6	"C1C1 rho c1e1 pr 2"
1	7	"C1C1 rho c1e1 pr 2"
1	8	"C1C1 rho c1e1 pr 2"
1	9	"C1C1 rho c1e1 pr 3"
1	10	"C1C1 rho c1e1 pr 3"
1	11	"C1C1 rho c1e1 pr 3"
1	12	"C1C1 rho c1e1 pr 3"
1	13	"C1C1 rho c1e1 pr 4"
1	14	"C1C1 rho c1e1 pr 4"
1	15	"C1C1 rho c1e1 pr 4"
1	16	"C1C1 rho c1e1 pr 4"
1	17	"C1C1 rho c1e1 pr 5"
1	18	"C1C1 rho c1e1 pr 5"
1	19	"C1C1 rho c1e1 pr 5"
1	20	"C1C1 rho c1e1 pr 5"
1	21	"C1C1 rho c1e1 pr 6"
1	22	"C1C1 rho c1e1 pr 6"
1	23	"C1C1 rho c1e1 pr 6"
1	24	"C1C1 rho c1e1 pr 6"
2	1	"Ref"
2	2	"Ref"
2	3	"Ref"
2	4	"Ref"
2	5	"C1C1 rho c1e1 pr 2"
2	6	"C1C1 rho c1e1 pr 2"
2	7	"C1C1 rho c1e1 pr 2"
2	8	"C1C1 rho c1e1 pr 2"
2	9	"C1C1 rho c1e1 pr 3"
2	10	"C1C1 rho c1e1 pr 3"
2	11	"C1C1 rho c1e1 pr 3"
2	12	"C1C1 rho c1e1 pr 3"
2	13	"C1C1 rho c1e1 pr 4"
2	14	"C1C1 rho c1e1 pr 4"
2	15	"C1C1 rho c1e1 pr 4"
2	16	"C1C1 rho c1e1 pr 4"
2	17	"C1C1 rho c1e1 pr 5"
2	18	"C1C1 rho c1e1 pr 5"
2	19	"C1C1 rho c1e1 pr 5"
2	20	"C1C1 rho c1e1 pr 5"
2	21	"C1C1 rho c1e1 pr 6"
2	22	"C1C1 rho c1e1 pr 6"
2	23	"C1C1 rho c1e1 pr 6"
2	24	"C1C1 rho c1e1 pr 6"
3	1	"C1C1 rho c1e1 pr13"
3	2	"C1C1 rho c1e1 pr13"
3	3	"C1C1 rho c1e1 pr13"
3	4	"C1C1 rho c1e1 pr13"
3	5	"C1C1 rho c1e1 pr14"
3	6	"C1C1 rho c1e1 pr14"
3	7	"C1C1 rho c1e1 pr14"
3	8	"C1C1 rho c1e1 pr14"
3	9	"C1C1 rho c1e1 pr15"
3	10	"C1C1 rho c1e1 pr15"
