"Row"	"Column"	"Gene"
1	1	"Ref"
1	2	"Ref"
1	3	"C1C1 rho c1e1 pr 2"
1	4	"C1C1 rho c1e1 pr 2"
1	5	"C1C1 rho c1e1 pr 3"
1	6	"C1C1 rho c1e1 pr 3"
1	7	"C1C1 rho c1e1 pr 4"
1	8	"C1C1 rho c1e1 pr 4"
1	9	"C1C1 rho c1e1 pr 5"
1	10	"C1C1 rho c1e1 pr 5"
1	11	"C1C1 rho c1e1 pr 6"
1	12	"C1C1 rho c1e1 pr 6"
2	1	"C1C1 rho c1e1 pr13"
2	2	"C1C1 rho c1e1 pr13"
2	3	"C1C1 rho c1e1 pr14"
2	4	"C1C1 rho c1e1 pr14"
2	5	"C1C1 rho c1e1 pr15"
2	6	"C1C1 rho c1e1 pr15"
2	7	"C1C1 rho c1e1 pr16"
2	8	"C1C1 rho c1e1 pr16"
2	9	"C1C1 rho c1e1 pr17"
2	10	"C1C1 rho c1e1 pr17"
2	11	"C1C1 rho c1e1 pr18"
2	12	"C1C1 rho c1e1 pr18"
3	1	"C1C1 rho c1e1 pr25"
3	2	"C1C1 rho c1e1 pr25"
3	3	"C1C1 rho c1e1 pr26"
3	4	"C1C1 rho c1e1 pr26"
3	5	"C1C1 rho c1e1 pr27"
3	6	"C1C1 rho c1e1 pr27"
3	7	"C1C1 rho c1e1 pr28"
3	8	"C1C1 rho c1e1 pr28"
3	9	"C1C1 rho c1e1 pr29"
3	10	"C1C1 rho c1e1 pr29"
3	11	"C1C1 rho c1e1 pr30"
3	12	"C1C1 rho c1e1 pr30"
4	1	"C1C1 rho c1e1 pr37"
4	2	"C1C1 rho c1e1 pr37"
4	3	"C1C1 rho c1e1 pr38"
4	4	"C1C1 rho c1e1 pr38"
4	5	"C1C1 rho c1e1 pr39"
4	6	"C1C1 rho c1e1 pr39"
4	7	"C1C1 rho c1e1 pr40"
4	8	"C1C1 rho c1e1 pr40"
4	9	"C1C1 rho c1e1 pr41"
4	10	"C1C1 rho c1e1 pr41"
4	11	"C1C1 rho c1e1 pr42"
4	12	"C1C1 rho c1e1 pr42"
5	1	"C1C1 rho c1e1 pr49"
5	2	"C1C1 rho c1e1 pr49"
5	3	"C1C1 rho c1e1 pr50"
5	4	"C1C1 rho c1e1 pr50"
5	5	"C1C1 rho c1e1 pr51"
5	6	"C1C1 rho c1e1 pr51"
5	7	"C1C1 rho c1e1 pr52"
5	8	"C1C1 rho c1e1 pr52"
5	9	"C1C1 rho c1e1 pr53"
5	10	"C1C1 rho c1e1 pr53"
5	11	"C1C1 rho c1e1 pr54"
5	12	"C1C1 rho c1e1 pr54"
6	1	"C1C1 rho c1e1 pr61"
6	2	"C1C1 rho c1e1 pr61"
6	3	"C1C1 rho c1e1 pr62"
6	4	"C1C1 rho c1e1 pr62"
6	5	"C1C1 rho c1e1 pr63"
6	6	"C1C1 rho c1e1 pr63"
6	7	"C1C1 rho c1e1 pr64"
6	8	"C1C1 rho c1e1 pr64"
6	9	"C1C1 rho c1e1 pr65"
6	10	"C1C1 rho c1e1 pr65"
6	11	"C1C1 rho c1e1 pr66"
6	12	"C1C1 rho c1e1 pr66"
7	1	"C1C1 rho c1e1 pr73"
7	2	"C1C1 rho c1e1 pr73"
7	3	"C1C1 rho c1e1 pr74"
7	4	"C1C1 rho c1e1 pr74"
7	5	"C1C1 rho c1e1 pr75"
7	6	"C1C1 rho c1e1 pr75"
7	7	"C1C1 rho c1e1 pr76"
7	8	"C1C1 rho c1e1 pr76"
7	9	"C1C1 rho c1e1 pr77"
7	10	"C1C1 rho c1e1 pr77"
7	11	"C1C1 rho c1e1 pr78"
7	12	"C1C1 rho c1e1 pr78"
8	1	"C1C1 rho c1e1 pr85"
8	2	"C1C1 rho c1e1 pr85"
8	3	"C1C1 rho c1e1 pr86"
8	4	"C1C1 rho c1e1 pr86"
8	5	"C1C1 rho c1e1 pr87"
8	6	"C1C1 rho c1e1 pr87"
8	7	"C1C1 rho c1e1 pr88"
8	8	"C1C1 rho c1e1 pr88"
8	9	"C1C1 rho c1e1 pr89"
8	10	"C1C1 rho c1e1 pr89"
8	11	"C1C1 rho c1e1 pr90"
8	12	"C1C1 rho c1e1 pr90"
